UID,formula,Egap,Ecbm,Evbm,Evac,Efermi,wf,EA,IE,work_function
2783,Sn1 S2,1.563,-3.625,-5.188,1.568837508,-4.9729946,6.541832108,5.193837508,6.756837508,5.975337508
1580,Hg1 Br2,1.7967,-3.9814,-5.7781,1.249698739,-5.55711142,6.806810159,5.231098739,7.027798739,6.129448739
3492,Tl2 Te2,0.7047,-2.8392,-3.5439,1.922331206,-3.32466493,5.246996136,4.761531206,5.466231206,5.113881206
3424,Ir2 S2,0.2073,-2.1626,-2.3699,2.442394062,-2.26314785,4.705541912,4.604994062,4.812294062,4.708644062
3383,Al2 S2,2.1138,-2.0573,-4.1711,2.040802737,-3.95679136,5.997594097,4.098102737,6.211902737,5.155002737
1582,Hg1 I2,0.97,-3.4891,-4.4591,1.57989722,-4.23684737,5.81674459,5.06899722,6.03899722,5.55399722
3476,Sc2 Te2,0.4028,-2.2627,-2.6655,2.192588231,-2.46349269,4.656080921,4.455288231,4.858088231,4.656688231
2732,Pd1 S2,1.1857,-3.6434,-4.8291,1.415417704,-4.60492098,6.020338684,5.058817704,6.244517704,5.651667704
1553,Ca1 Br2,4.2701,-2.065,-6.3351,1.338433434,-6.10922183,7.447655264,3.403433434,7.673533434,5.538483434
3382,Al2 O2,1.3019,-1.7219,-3.0238,1.885098013,-2.81256251,4.697660523,3.606998013,4.908898013,4.257948013
849,In2 Se2,1.5448,-2.683,-4.2278,1.784052303,-4.01280256,5.796854863,4.467052303,6.011852303,5.239452303
1593,Mg1 I2,2.9129,-1.4378,-4.3507,1.710442783,-4.13282656,5.843269343,3.148242783,6.061142783,4.604692783
819,Al2 S2,2.1414,-1.9942,-4.1356,2.031951154,-3.92478496,5.956736114,4.026151154,6.167551154,5.096851154
2827,Zr1 S2,0.9723,-4.3041,-5.2764,1.573615961,-5.0610122,6.634628161,5.877715961,6.850015961,6.363865961
2744,Te2 Pt1,0.6575,-2.2869,-2.9444,1.725143102,-2.72454491,4.449688012,4.012043102,4.669543102,4.340793102
1454,Ru1 Cl2,1.3544,-2.3015,-3.6559,1.357277584,-3.43668734,4.793964924,3.658777584,5.013177584,4.335977584
129,Hg1 Te1,0.1434,-4.3415,-4.4849,0.950974602,-4.40447042,5.355445022,5.292474602,5.435874602,5.364174602
3491,Tl2 Se2,0.7515,-3.5574,-4.3089,1.723614271,-4.09281856,5.816432831,5.281014271,6.032514271,5.656764271
1556,Cd1 Br2,2.6224,-3.2285,-5.8509,1.245569934,-5.62912582,6.874695754,4.474069934,7.096469934,5.785269934
898,Tl2 Se2,0.6926,-3.6044,-4.297,1.719452349,-4.07681536,5.796267709,5.323852349,6.016452349,5.670152349
2742,Pt1 Se2,1.339,-2.9212,-4.2602,1.376228187,-4.03680736,5.413035547,4.297428187,5.636428187,4.966928187
1635,Sn1 Br2,2.4127,-2.8736,-5.2863,1.335632338,-5.0770154,6.412647738,4.209232338,6.621932338,5.415582338
3488,Ti2 Te2,0.2363,-2.1354,-2.3717,2.293826602,-2.25478975,4.548616352,4.429226602,4.665526602,4.547376602
2693,Te2 Mo1,1.138,-1.5826,-2.7206,2.13716453,-2.5085017,4.64566623,3.71976453,4.85776453,4.28876453
886,Sb2 Se2,0.5742,-2.5995,-3.1737,1.497148539,-2.96459292,4.461741459,4.096648539,4.670848539,4.383748539
3465,Rh2 O2,0.0147,-4.492,-4.5067,2.053859371,-4.50280829,6.556667661,6.545859371,6.560559371,6.553209371
1554,Ca1 Cl2,4.8546,-2.0747,-6.9293,1.367032092,-6.70134026,8.068372352,3.441732092,8.296332092,5.869032092
3419,In2 O2,0.5319,-4.4841,-5.016,1.712579756,-4.79695939,6.509539146,6.196679756,6.728579756,6.462629756
1558,Cd1 I2,1.8569,-2.6301,-4.487,1.583560304,-4.26885377,5.852414074,4.213660304,6.070560304,5.142110304
1461,Sn1 I2,2.0863,-2.2056,-4.2919,1.538722337,-4.07681536,5.615537697,3.744322337,5.830622337,4.787472337
1639,Sr1 Cl2,5.0378,-1.9174,-6.9552,1.209102105,-6.73334666,7.942448765,3.126502105,8.164302105,5.645402105
136,Pb1 Se1,2.0187,-2.5496,-4.5683,1.77333428,-4.34886977,6.12220405,4.32293428,6.34163428,5.33228428
1462,Sr1 Br2,5.1728,-1.3437,-6.5165,1.055855551,-6.30126025,7.357115801,2.399555551,7.572355551,4.985955551
2819,W1 S2,1.8963,-1.9295,-3.8258,1.846538299,-3.61272254,5.459260839,3.776038299,5.672338299,4.724188299
3384,Al2 Se2,2.0308,-1.9534,-3.9842,1.872021858,-3.77275455,5.644776408,3.825421858,5.856221858,4.840821858
2798,Ti1 O2,2.5174,-4.8046,-7.322,1.022147822,-7.10942188,8.131569702,5.826747822,8.344147822,7.085447822
843,Ga2 Te2,1.4542,-2.0581,-3.5123,1.794572136,-3.30066013,5.095232266,3.852672136,5.306872136,4.579772136
1460,Sn1 Cl2,2.4244,-3.1007,-5.5251,1.197215594,-5.30906181,6.506277404,4.297915594,6.722315594,5.510115594
2823,Te2 W1,1.1385,-1.3673,-2.5058,2.16937481,-2.29245849,4.4618333,3.53667481,4.67517481,4.10592481
2828,Zr1 Se2,0.3516,-3.7582,-4.1098,1.395747031,-3.93370858,5.329455611,5.153947031,5.505547031,5.329747031
2801,Ti1 S2,0.7349,-4.4637,-5.1986,1.545402697,-4.9889978,6.534400497,6.009102697,6.744002697,6.376552697
496,Pt2 Cl2,1.7594,-2.5594,-4.3188,1.822393732,-4.10882176,5.931215492,4.381793732,6.141193732,5.261493732
3390,Bi2 O2,0.8927,-1.5594,-2.4521,1.529901546,-2.23644729,3.766348836,3.089301546,3.982001546,3.535651546
3389,Te2 Au2,,,,1.453065512,-2.58015253,4.033218042,,,4.083573
3422,In2 Te2,1.5965,-1.8961,-3.4926,1.99744714,-3.27665533,5.27410247,3.89354714,5.49004714,4.69179714
1555,Ca1 I2,3.2827,-1.7437,-5.0264,1.649504955,-4.80496099,6.454465945,3.393204955,6.675904955,5.034554955
2653,Hf1 O2,4.8796,-1.9629,-6.8425,1.089309928,-6.62932586,7.718635788,3.052209928,7.931809928,5.492009928
2781,Sn1 O2,2.7081,-4.4034,-7.1115,1.267511895,-6.90138027,8.168892165,5.670911895,8.379011895,7.024961895
125,Ge1 Te1,1.6525,-2.3837,-4.0362,1.171157914,-3.82076415,4.991922064,3.554857914,5.207357914,4.381107914
2831,Zr1 Te2,0.3572,-3.2755,-3.6327,1.875645862,-3.45128395,5.326929812,5.151145862,5.508345862,5.329745862
826,Bi2 Se2,0.6636,-2.3494,-3.013,1.410570982,-2.80456091,4.215131892,3.759970982,4.423570982,4.091770982
3505,Zr2 Te2,0.5798,-1.7652,-2.345,2.461930008,-2.13242648,4.594356488,4.227130008,4.806930008,4.517030008
124,Ge1 Se1,2.2402,-2.6151,-4.8553,1.156396979,-4.63692738,5.793324359,3.771496979,6.011696979,4.891596979
141,Sn1 Te1,1.749,-2.2941,-4.0431,1.356869924,-3.82876575,5.185635674,3.650969924,5.399969924,4.525469924
