,huid,lat_a,lat_b,lat_c
0,huid-7368-AB,3.9536986755592025,3.9537117763915726,38.0
1,huid-10779-AA,4.045299010443744,4.045051202175792,38.0
2,huid-15159-AA,2.945014575162513,2.945009833975194,38.0
3,huid-3777-AB,3.4380639441241776,3.438063852696096,38.0
4,huid-4254-AB,3.8985358494256657,3.8985854302049505,38.0
5,huid-9831-AA,4.075466287601693,4.07546702383714,38.0
6,huid-6814-AB,3.7390110208500005,3.738995737868442,38.0
7,huid-9274-AB,4.038607731734412,4.038617401712712,38.0
8,huid-2688-AA,3.251216213256631,3.2512160943360513,38.0
9,huid-9676-AB,3.6704386123032364,3.670439866230785,38.0
10,huid-8190-AB,4.34533430036121,4.345341182911029,38.0
11,huid-11664-AB,3.6473024611595894,3.647231696423452,38.0
12,huid-11865-AA,4.20467859279899,4.207398409157835,38.0
13,huid-14707-AB,4.024901417960865,4.024925506509697,38.0
14,huid-13857-AB,3.9391484042838054,3.939139061622633,38.0
15,huid-3938-AA,3.710762368577324,3.710762320794844,38.0
16,huid-1216-AA,3.553036568206347,3.5529916505241403,38.0
17,huid-788-AB,4.0939589930916895,4.09320752003864,38.0
18,huid-5507-AA,3.9856178029032976,3.9856743582810497,38.0
19,huid-6810-AA,3.7492022752193437,3.749216475266032,38.0
20,huid-10131-AA,4.1902478035121895,4.190240368230401,38.0
21,huid-1291-AA,4.349803346944504,4.349789293081704,38.0
22,huid-3360-AA,3.841760193756151,3.8417604474283054,38.0
23,huid-14922-AB,3.6892616479698646,3.689234209895673,38.0
24,huid-13391-AA,4.124555828407669,4.124597840787892,38.0
25,huid-15931-AA,4.234605581005909,4.234603630357591,38.0
26,huid-10069-AA,4.109614507680506,4.109972750735039,38.0
27,huid-9831-AB,4.0783479797758755,4.078348373142513,38.0
28,huid-1749-AA,3.5721325789821585,3.572120373551791,38.0
29,huid-12088-AA,4.1472024244329955,4.147210710607117,38.0
30,huid-15366-AB,3.7928491513320117,3.7928246452408088,38.0
31,huid-12292-AB,3.693923455463451,3.6943309419706347,38.0
32,huid-15217-AB,3.6765346865971895,3.676535339027902,38.0
33,huid-3358-AA,3.8783419084690625,3.8783420873164443,38.0
34,huid-7237-AA,3.6696366306499204,3.6696384175038386,38.0
35,huid-7175-AB,3.664876540298586,3.664874534429481,38.0
36,huid-10871-AA,4.454857538649781,4.45393358054493,38.0
37,huid-16260-AA,4.0463272614961046,4.046327442373157,38.0
38,huid-12638-AB,3.183813197611971,3.183855754667885,38.0
39,huid-563-AA,4.117344273875596,4.117344232019759,38.0
40,huid-13666-AA,3.5643873042438665,3.564386411839699,38.0
41,huid-12972-AA,3.720711798045277,3.720707983292265,38.0
42,huid-11514-AA,3.556017038282328,3.555364045723025,38.0
43,huid-1291-AB,4.352340391635689,4.352344479873446,38.0
44,huid-14164-AA,3.5733645441496282,3.573365123722637,38.0
45,huid-12430-AA,3.782247697751861,3.782238231406495,38.0
46,huid-10383-AB,3.9326754747030366,3.93272151266591,38.0
47,huid-10871-AB,4.482500957253689,4.480876538756335,38.0
48,huid-10606-AA,3.494084656267821,3.49412349414172,38.0
49,huid-13844-AB,3.845193070387846,3.8451930361434687,38.0
50,huid-13286-AA,4.415868096921943,4.4155763128856265,38.0
51,huid-5097-AA,3.5779925660028224,3.5779851740749966,38.0
52,huid-8068-AB,3.6374565798687644,3.6374568686096254,38.0
53,huid-8604-AA,3.6682359445693526,3.668236232946398,38.0
54,huid-7593-AB,3.486866054920673,3.486858170032596,38.0
55,huid-2899-AA,3.5175353132189597,3.5175486081871306,38.0
56,huid-13533-AB,4.208977721844967,4.208644041386321,38.0
57,huid-380-AA,3.488251438041564,3.4882516574352587,38.0
58,huid-12088-AB,4.154288374321547,4.154261789586376,38.0
